동사,빈도
올려진,1
합하도록,2
품용,1
두드려서,4
흐르게,3
거칠기,1
해서로,1
뜨임,4
불림이나,1
묶여있는,1
끊는다,2
들어가도록,7
침지한,1
침지가,2
적어,1
떨어뜨리기,1
가둔다,2
덮어,10
자라면,1
심는다,11
나타낸,5
뛰어넘기,2
뛰기,1
돌리기,2
타기,4
뿌려주고,1
싸거나,2
담고,12
걸어놓고,1
흘려주기,1
합지기에,1
맞출,2
따라다니며,1
건네준다,4
다니며,2
그립,3
어울리도록,1
하던,1
드러나지,1
부쳐진,1
감사하고,1
빠지도록,1
끼운,15
잡아당기면서,4
두드리,1
둔다,12
구부리거나,6
맞대기,3
묻혀,11
매만져,1
가며,3
자름실을,2
잘라서,6
둘러보고,1
풀어지지,10
치주,2
설용,1
받으면,14
늘리면서,1
싼다,3
붙도록,2
두드리는,2
품신,1
나타나면,7
치우거나,1
올려놓도록,1
뿌리면서,2
갈구리,1
찢어지거나,1
부러지는,2
받쳐,2
맨다,6
이뤄지는지,1
꾸려가기,1
잔사,4
싣는다,10
깔아,7
신고수리,3
움직이거나,4
덧붙이고,2
집고,1
당기면서,2
찾아내며,1
얻어,6
얻기도,1
보는,3
만들어지면,2
만나서,2
매시,3
받치고,2
하였을,3
심도,15
출수,2
심도와,1
얹거나,4
세어,4
집어넣는다,13
가려내는,2
밀어서,4
쏟아,8
지켜야,4
켜고,11
않고도,2
떨어지거나,5
안정화시키고,1
쓸,3
감도,5
내릴,3
잃게,1
됨,6
집어내고,1
집어놓고,1
채우기도,4
읽어,5
깨진,7
긋고,6
탐,8
나올,7
출소,1
매다는,16
익히도록,1
가르치,5
사하기,1
나누어서,3
벗겨지지,1
하는지와,3
뿌린,4
온다,5
해주거나,2
붙어,15
찢어진,4
대어,20
꿰맬,1
문지르고,4
뺀,2
높여,6
가서,7
참고하거나,1
품셈,1
파내고,3
입혀질,2
떨어지지,6
돌아가면서,2
눕히고,3
엇갈려,2
쳐지지,3
옮긴,5
쓰러지지,2
식재한,2
해거나,1
가꾼다,2
지피,1
남기고,4
줄이면서,1
달라붙지,2
녹이는,1
두드리거나,2
달구면서,1
두드리면서,1
편다,12
밀거나,5
적시면서,1
치거나,8
뚫기도,4
물리거나,1
틀거나,1
굽히기,1
가한다,11
터지지,1
붙이기도,8
읽기,3
하기로,4
뜯음,1
하여도,1
지우는,1
주고받으며,3
다루기도,5
보내도록,3
하였는지,4
심도지시계기,1
담기게,4
채워지면,3
채워진,6
는,8
받친다,1
달군다,1
떨어뜨리,1
두드리고,1
굽힘,5
잘라내어,3
달구어,2
살펴본다,8
붓거나,5
묻힌다,3
물림하여,1
권한다,4
해주기도,6
끼우기,2
걸어서,6
되었을,14
잠근다,10
메우거나,4
피대,1
꾸미는,1
되었으면,3
뜨는,2
당김줄,2
짜였는지,2
늘어진,4
묶고,9
걸쳐진,1
묶기도,4
침지하거나,2
인면의,3
인면을,2
샌,12
팅기로,1
찾아온,1
걸리지,2
않는지,7
줄질,2
달군,1
일러,11
끼우거나,5
입재의,1
벤,15
출기,3
지가를,2
인당,1
세워진,2
넣으면서,2
맞,11
움직여,21
벌어지지,1
않았는지,9
떨어지도록,4
열리면,2
메우고,7
않기,2
닦기,3
차린다,2
먹줄,6
잡아당기며,2
뛰어넘은,2
떼어내거나,1
얼룩진,3
문지르거나,2
채워지도록,1
들어내고,4
세퍼,3
지키는지를,1
살피는,1
보내기도,3
비우고,2
배치하거나,6
푼다,8
출의,3
덮고,11
덮은,6
걷어내고,3
들어간다,1
나가지,2
얻게,1
들어올려,1
내려놓는다,4
감도를,6
파내,1
본한,5
옮기기,4
바르기,4
돌려서,7
침기,1
씌울,1
뿌려진,1
들에,5
식히는,2
쐬어주는,1
삶거나,2
담갔다,1
말리는,1
마시는,1
시들지,3
키우는데,1
나노전자,1
바뀌지,3
입은,2
자라는,4
자랄,1
하여야,3
구워,2
문질러서,3
걷어,4
됐는지,1
조였던,1
밀려,2
닦이지,1
몰아,3
깔,5
담긴,27
피니,2
돌리,9
팅기어,1
흘러나오는,2
본으로,2
하도,7
묻혀서,1
물림,20
대에,7
말아지면,1
합쳐,1
들어갈,9
묻는다,2
되면서,8
쌓이는,2
가해주는,2
가해주면서,2
보내거나,6
섞일,2
낮춰서,1
입고한,3
출과,6
출이,3
씌운,3
심재,2
구부린,2
거친다,6
드러내지,1
어울릴만,1
되지는,1
추진하거나,1
선진노,1
재수리,1
떨림,5
돌아오면,2
벗기거나,2
털어서,1
출하전,1
줄이면서도,1
옮기거나,2
알아낸다,7
접가지에서,1
뽑아,19
주며,5
나오도록,3
끈다,1
참하여,1
멈추고,14
들려오는,1
묵고지를,1
젓고,1
풀린,4
건져,2
삶아진,2
가라앉거나,1
꺼리,1
늘려가며,1
당긴다,6
질하거나,2
망치질,2
끼어들지,1
편수에게,1
빠짐,3
늘어짐,1
끼우기도,3
닿게,1
갈라지는,2
깎인,2
넘기면서,1
접히거나,1
옮겨진,1
남는,2
탈질,1
보내주는,2
하겠다는,1
배우고,4
실린,2
재어,5
켜지도록,3
판,4
켜지면,3
알아야,1
붙일,3
내우,1
기다릴,1
한하여,5
얻어야,1
임면한,1
불리는,1
붙어있는,7
뚫어야,1
배기구,1
비전을,1
느껴지는,1
들리는,1
온전히,1
받아졌는지,1
걸침,2
않거나,5
걸친다,2
걸림,1
않던,1
깨지지,1
올라가면,3
올려준다,1
적실,1
찍어내고,2
없어질,1
적고,4
크로,7
탈수기에,4
깎는,1
기울여,6
입도계를,3
행해진다,2
넣은,31
섞이게,1
쉽고,5
메운다,8
적셔,3
열재,1
띄움,1
가두어놓은,1
서가에서,1
접안하는,1
접안을,4
돕도록,2
접안에,1
짜주거나,2
맡는다,2
바꾼다,7
흘러나오거나,1
집어서,2
누르거나,8
빼내고,10
문지르,1
긋기도,2
꺼내고,8
재서,4
알리거나,2
담으며,1
댄다,7
빼내는,1
남기로,1
세우기에,2
보여주며,2
살펴보는,1
찢고,1
훑어서,1
펴거나,1
지어,1
넘겨,5
접어,3
알고자,1
만나거나,1
매거진,3
안아주기,1
쓰다듬기,1
기르는,2
크를,2
벤질,1
나누는,2
본뜨기,1
고른,4
보살피,1
살펴본,1
닫도록,2
덮인,1
기울인다,1
나가,4
들려주는,1
비추어,6
쳐놓는다,1
그렸는지,1
들여와,2
깔아주고,1
닦아주고,1
쏟은,1
식히고,1
썩은,3
불리기,1
불린다,1
끓인다,2
깐,1
막아,1
기울이기,1
돌리거나,12
받치,1
짜인,7
나누고,7
받기도,8
작동시키며,3
기울어지거나,1
뒤틀린,2
앉는,1
기대는,1
탄과,1
입기,2
꾸리기,1
꿈치,1
데리러,1
기다렸다가,1
나간다,1
맡은,1
살리고,2
불러일으키도록,1
자기주도,1
바꾸기도,4
더불어,7
되는가를,1
올릴,4
싶은,2
찌기,1
돌린,1
쪄진,1
채우거나,1
묻히고,3
바르,4
짜여진,2
돌리면서,3
클로,1
씻기도,1
끝나고,1
무너지지,1
멈추게,2
합하,1
일어난,3
옮길,2
달린,8
할수,3
풀리는,1
띄어,2
끊어져,3
실려,3
담그기,2
안내하거나,2
새겨진,3
잠근,2
꾸거나,1
건져내어,1
보며,7
되고자,1
익혀진,2
익혀졌으면,1
쬐어서,1
담그어,1
굳힌다,2
시키는지,2
볶아지는,1
볶아진,3
빼서,2
생기거나,1
벗어난,5
얹고,3
들어내어,3
가늘어지지,1
눌러지도록,1
꺼내기도,2
비춘다,1
뚫을,4
갖다,5
합하는,1
얹어놓고,2
팅기계의,1
지필에,1
달아서,2
헐,2
얻어내고,1
만들어주고,1
녹인다,3
겨있는,1
베어,4
매고,1
흔들림을,2
잠김을,2
떼어내기,1
차도록,2
없앤다,3
올려놓은,3
뜯어내기,1
합구,1
이루는,5
막힘은,2
버린다,4
묻도록,2
돌려가며,3
걸어주도록,1
돌봄,2
잘려서,1
바꾸도록,1
카테,1
속이,3
비어있으며,1
들어가지,6
않음,2
없애고,1
낮춘다,3
막히거나,2
부딪힘,2
새지,3
냄,4
터짐,3
기고하거나,5
맡기도,1
넣을,1
이어지면서,1
흔들림,4
되므로,4
지우고,2
오려내고,1
깔아서,1
섞임,1
채우기,3
와셔가,1
갖춰야,2
시켜주기,1
보낸,1
스며들지,2
파낸,1
비어있는,2
누름,3
떨어지면,6
올림,3
누르도록,1
하면용,1
뒤집고,3
출고하거나,1
펴주거나,1
섞어주는,1
끓임,3
꾸며진,1
읽는,1
잘라내고,7
나오기까지,1
들지,1
감추어,1
이루는지,1
추실에,4
개어주거나,1
옮기면서,1
걷고,3
추실,3
잘릴,1
말소,4
섞이는지,2
듣거나,2
걷는,2
씻기,2
친다,9
되어질,1
둘러가며,1
일구는,1
비뚤어지지,1
빗어,3
오려,4
늘릴,2
늘이거나,1
넓혀,2
부러지거나,2
막고,5
씌우거나,3
잡아당기고,3
떼어내는,2
도와주며,2
맞닿은,2
주무르거나,6
문지르는,1
삼는다,2
갈라지거나,2
틀어지지,2
세우기도,3
재면의,1
굽음,1
당기거나,2
눌러서,7
막힘을,4
막혔을,1
행해지는,1
쓰러,1
행해지는지,1
만져서,3
맞춘,6
넣어서,5
깎을,1
긋는다,2
빠질,1
빠져,2
나간,4
멈추면,2
녹기,2
얼어,1
눌러주도록,1
나오기,3
베고,4
베어주고,1
베어내는,1
끼워줄,1
찍는다,11
흔든다,2
보여주어,1
남긴다,3
깎으며,1
거칠어진,1
자르,6
벌어짐,5
튼,1
맞추거나,1
주는지를,1
찌그러짐을,1
불러내고,1
되돌아온,1
감도가,1
해지,2
내림으로써,1
뛰어내리는,1
털리,1
찍은,5
문지를,3
찍어서,2
하는가를,9
물들이,1
작동시킨,6
살펴서,4
걸린,3
치어를,2
밟거나,3
다듬으며,2
읽으며,1
외우고,1
부르고,1
닥칠지,1
모르는,1
없앰,1
갖춘다,3
가한,7
배운다,2
보인다,6
찍거나,2
해온,3
권하고,2
갈라짐을,1
이루어지는지를,5
바른지,1
구부러진,5
두를,1
볶거나,1
품질면에서,1
입고에서부터,1
됨에,3
지르,1
질계,2
흔드는,1
쪼이도록,1
오퍼,14
문질러주도록,1
경화시켜,2
시키고자,3
경화시킨,1
부는,5
경화시키고,1
일어나면,1
마쳐진,1
보게,1
가합,2
어긋나면,1
가하고,4
배우기,1
시키는지를,1
몰,6
재실시하여,1
접지면의,1
받게,2
잘라주는,1
남김,1
깎음,1
태어난,2
바르며,2
거두는,1
꿰매서,1
치르고,1
짖음,1
